bilateria,protostomia,lophotrochozoa,annelida,earthworm,Lumbricus terrestris
bilateria,protostomia,lophotrochozoa,mollusca,bivalvia,clam,Mercenaria mercenaria
bilateria,protostomia,lophotrochozoa,mollusca,cephalopoda,octopus,Octopus vulgaris
bilateria,protostomia,lophotrochozoa,mollusca,cephalopoda,squid,Doryteuthis pealeii
bilateria,protostomia,lophotrochozoa,mollusca,gastropoda,snail,Helix pomatia
cnidaria,coral,Acropora millepora
cnidaria,hydra,Hydra vulgaris
cnidaria,jellyfish,Aurelia aurita
cnidaria,sea anemone,Nematostella vectensis
porifera,sponge,Amphimedon queenslandica
